Name,Edition,Count,Condition,Rarity,Buy List Amount,Retail Amount,#N/A,#N/A,,Trade In:,#N/A
Courser of Kruphix,Born of the Gods,19,Near Mint,Rare,$1.000,$3.50,$19.000,$66.50,,,
Crackling Doom,Khans of Tarkir,55,Near Mint,Rare,$.050,$0.65,$2.750,$35.75,,,
Cradle Guard,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Crash,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Crashing Boars,Exodus,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Crater Elemental,Dragons of Tarkir,27,Near Mint,Rare,$.050,$0.30,$1.350,$8.10,,,
Crater's Claws,Khans of Tarkir,39,Near Mint,Rare,$.050,$0.30,$1.950,$11.70,,,
Craven Giant,Stronghold,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Craw Wurm,Revised Edition,10,Near Mint,Common,$.003,$0.10,$.030,$1.00,,,
Creature Bond,Fourth Edition,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Creature Bond,Revised Edition,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Credit Voucher,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Creeping Corrosion,Mirrodin Besieged,8,Near Mint,Rare,$.500,$2.00,$4.000,$16.00,,,
Creeping Mold,Visions,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Creeping Renaissance,Innistrad,31,Near Mint,Rare,$.050,$0.30,$1.550,$9.30,,,
Creepy Doll,Innistrad,21,Near Mint,Rare,$.050,$0.30,$1.050,$6.30,,,
Cremate,Invasion,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Crenellated Wall,Mercadian Masques,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Crevasse,Legends,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Crimson Acolyte,Invasion,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Crooked Scales,Mercadian Masques,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Crop Rotation,Urza's Legacy,2,Near Mint,Common,$.250,$2.00,$.500,$4.00,,,
"Crosis, the Purger",Invasion,2,Near Mint,Uncommon,$.500,$3.00,$1.000,$6.00,,,
Crosis's Attendant,Invasion,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Crosis's Catacombs,Planeshift,4,Near Mint,Uncommon,$.003,$0.75,$.012,$3.00,,,
Crosis's Charm,Planeshift,4,Near Mint,Rare,$.050,$0.25,$.200,$1.00,,,
Crossbow Ambush,Stronghold,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Crossbow Infantry,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Crovax the Cursed,Stronghold,1,Near Mint,Rare,$.050,$0.45,$.050,$0.45,,,
Crown of Flames,Invasion,3,Near Mint,Common,$.003,$0.10,$.009,$0.30,,,
Crucible of Fire,Magic 2015 Core Set,11,Near Mint,Rare,$.050,$0.90,$.550,$9.90,,,
Crucible of the Spirit Dragon,Fate Reforged,33,Near Mint,Rare,$.050,$0.30,$1.650,$9.90,,,
Crucible of Worlds,Fifth Dawn,1,Near Mint,Rare,$43.500,$72.45,$43.500,$72.45,,,
Cruel Sadist,Magic 2015 Core Set,10,Near Mint,Rare,$.050,$0.15,$.500,$1.50,,,
Crumble,Antiquities,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Crush of Tentacles,Oath of the Gatewatch,5,Near Mint,MythicRare,$3.000,$6.00,$15.000,$30.00,,,
Crux of Fate,Fate Reforged,39,Near Mint,Rare,$.050,$0.75,$1.950,$29.25,,,
Crypt Ghast,Gatecrash,8,Near Mint,Rare,$.750,$2.50,$6.000,$20.00,,,
Cryptborn Horror,Return to Ravnica,56,Near Mint,Rare,$.050,$0.30,$2.800,$16.80,,,
Cryptic Command,Lorwyn,1,Near Mint,Rare,$16.250,$27.25,$16.250,$27.25,,,
Cryptolith Rite,Shadows over Innistrad,36,Near Mint,Rare,$.750,$2.50,$27.000,$90.00,,,
Crystal Chimes,Urza's Saga,2,Near Mint,Uncommon,$.003,$0.25,$.006,$0.50,,,
Crystal Rod,Revised Edition,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Crystal Vein,Mirage,1,Near Mint,Uncommon,$.003,$0.50,$.003,$0.50,,,
Culling the Weak,Exodus,2,Near Mint,Common,$.003,$0.40,$.006,$0.80,,,
Cunning,Exodus,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Curiosity,Exodus,1,Near Mint,Uncommon,$.003,$0.50,$.003,$0.50,,,
Curse Artifact,The Dark,4,Near Mint,Uncommon,$.003,$0.15,$.012,$0.60,,,
Curse of Bloodletting,Dark Ascension,10,Near Mint,Rare,$.050,$0.55,$.500,$5.50,,,
Curse of Death's Hold,Innistrad,45,Near Mint,Rare,$.050,$0.45,$2.250,$20.25,,,
Curse of Echoes,Dark Ascension,21,Near Mint,Rare,$.050,$0.30,$1.050,$6.30,,,
Curse of Marit Lage,Ice Age,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Curse of Misfortunes,Dark Ascension,33,Near Mint,Rare,$.050,$0.30,$1.650,$9.90,,,
Curse of Stalked Prey,Innistrad,33,Near Mint,Rare,$.050,$0.30,$1.650,$9.90,,,
Curse of the Swine,Theros,34,Near Mint,Rare,$.050,$0.30,$1.700,$10.20,,,
Cursecatcher,Shadowmoor,3,Near Mint,Uncommon,$5.750,$11.50,$17.250,$34.50,,,
Cursed Flesh,Exodus,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Cursed Flesh,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Cursed Land,Revised Edition,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Cursed Rack,Antiquities,1,Played,Uncommon,$.003,$0.50,$.003,$0.50,,,
Customs Depot,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Cyclonic Rift,Return to Ravnica,4,Near Mint,Rare,$3.000,$6.00,$12.000,$24.00,,,
Cyclopean Mummy,Legends,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Cyclopean Mummy,Legends,2,Good (Lightly Played),Common,$.003,$0.15,$.006,$0.30,,,
D'Avenant Archer,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
D'Avenant Archer,Legends,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Daghatar the Adamant,Fate Reforged,32,Near Mint,Rare,$.050,$0.30,$1.600,$9.60,,,
Damnable Pact,Dragons of Tarkir,26,Near Mint,Rare,$.050,$0.30,$1.300,$7.80,,,
Damnation,Planar Chaos,1,Near Mint,Rare,$39.250,$65.25,$39.250,$65.25,,,
Dance of Many,The Dark,1,Good (Lightly Played),Rare,$.050,$0.90,$.050,$0.90,,,
Dance of the Dead,Ice Age,1,Near Mint,Uncommon,$.250,$1.50,$.250,$1.50,,,
Dancing Scimitar,Revised Edition,3,Near Mint,Rare,$.050,$0.30,$.150,$0.90,,,
"Darigaaz, the Igniter",Invasion,2,Near Mint,Uncommon,$.100,$1.00,$.200,$2.00,,,
Darigaaz's Attendant,Invasion,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Darigaaz's Charm,Planeshift,3,Near Mint,Rare,$.050,$0.15,$.150,$0.45,,,
Daring Leap,Planeshift,9,Near Mint,Common,$.003,$0.10,$.027,$0.90,,,
Daring Thief,Journey into Nyx,9,Near Mint,Rare,$.050,$0.30,$.450,$2.70,,,
Dark Banishing,Mirage,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Dark Heart of the Wood,The Dark,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Dark Impostor,Avacyn Restored,19,Near Mint,Rare,$.050,$0.90,$.950,$17.10,,,
Dark Petition,Magic Origins,9,Near Mint,Rare,$.750,$2.75,$6.750,$24.75,,,
Dark Privilege,Visions,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Dark Prophecy,Magic 2014 Core Set,24,Near Mint,Rare,$.050,$0.30,$1.200,$7.20,,,
Dark Ritual,Revised Edition,1,Good (Lightly Played),Common,$.003,$0.40,$.003,$0.40,,,
Dark Ritual,Ice Age,1,Near Mint,Common,$.003,$0.40,$.003,$0.40,,,
Dark Ritual,Mirage,1,Near Mint,Common,$.003,$0.40,$.003,$0.40,,,
Dark Ritual,Urza's Saga,1,Near Mint,Common,$.003,$0.40,$.003,$0.40,,,
Dark Ritual,Mercadian Masques,3,Near Mint,Common,$.003,$0.40,$.009,$1.20,,,
Dark Ritual,Revised Edition,8,Near Mint,Common,$.003,$0.40,$.024,$3.20,,,
Dark Sphere,The Dark,1,Good (Lightly Played),Uncommon,$.003,$0.90,$.003,$0.90,,,
Dark Sphere,The Dark,4,Near Mint,Uncommon,$.003,$0.90,$.012,$3.60,,,
Dark Triumph,Nemesis,5,Near Mint,Uncommon,$.003,$0.15,$.015,$0.75,,,
Darkness,Legends,1,Played,Common,$3.000,$5.95,$3.000,$5.95,,,
Darkpact,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Darkslick Shores,Scars of Mirrodin,2,Near Mint,Rare,$4.500,$8.75,$9.000,$17.50,,,
Darksteel Forge,Magic 2014 Core Set,1,Near Mint,MythicRare,$2.750,$5.50,$2.750,$5.50,,,
Darksteel Plate,Mirrodin Besieged,1,Near Mint,Rare,$3.750,$7.50,$3.750,$7.50,,,
Darting Merfolk,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Dauthi Cutthroat,Exodus,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Dauthi Jackal,Exodus,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Dauthi Slayer,Tempest,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Dawnbringer Charioteers,Journey into Nyx,5,Near Mint,Rare,$.050,$0.30,$.250,$1.50,,,
Daxos of Meletis,Theros,50,Near Mint,Rare,$.050,$0.30,$2.500,$15.00,,,
Day of Judgment,Magic 2012,4,Near Mint,Rare,$.750,$2.50,$3.000,$10.00,,,
Day's Undoing,Magic Origins,11,Near Mint,MythicRare,$2.500,$4.75,$27.500,$52.25,,,
Daybreak Ranger,Innistrad,39,Near Mint,Rare,$.050,$0.55,$1.950,$21.45,,,
Daze,Nemesis,10,Near Mint,Common,$.250,$2.50,$2.500,$25.00,,,
Dazzling Beauty,Mirage,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Dead Ringers,Apocalypse,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Deadapult,Planeshift,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Deadbridge Chant,Dragon's Maze,12,Near Mint,MythicRare,$.500,$2.25,$6.000,$27.00,,,
Deadbridge Goliath,Return to Ravnica,37,Near Mint,Rare,$.050,$0.30,$1.850,$11.10,,,
Deadeye Navigator,Avacyn Restored,20,Near Mint,Rare,$.500,$2.00,$10.000,$40.00,,,
Deadfall,Legends,1,Good (Lightly Played),Uncommon,$.003,$0.50,$.003,$0.50,,,
Deadly Insect,Alliances,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Deadly Insect,Alliances,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Deadly Insect,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Dearly Departed,Innistrad,36,Near Mint,Rare,$.050,$0.30,$1.800,$10.80,,,
Death Bomb,Planeshift,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Death Charmer,Prophecy,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Death Mutation,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Death or Glory,Invasion,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Death Pit Offering,Nemesis,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Death Ward,Revised Edition,14,Near Mint,Common,$.003,$0.10,$.042,$1.40,,,
Death Watch,Visions,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Death's Duet,Exodus,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Death's Presence,Return to Ravnica,44,Near Mint,Rare,$.050,$0.30,$2.200,$13.20,,,
Deathbringer Regent,Dragons of Tarkir,22,Near Mint,Rare,$.050,$0.30,$1.100,$6.60,,,
Deathcap Cultivator,Shadows over Innistrad,26,Near Mint,Rare,$.050,$0.75,$1.300,$19.50,,,
Deathgazer,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Deathlace,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Deathmist Raptor,Dragons of Tarkir,9,Near Mint,MythicRare,$.750,$2.75,$6.750,$24.75,,,
Deathpact Angel,Gatecrash,32,Near Mint,MythicRare,$.250,$0.99,$8.000,$31.68,,,
Deathrite Shaman,Return to Ravnica,19,Near Mint,Rare,$2.750,$5.25,$52.250,$99.75,,,
Deceiver of Form,Oath of the Gatewatch,26,Near Mint,Rare,$.050,$0.30,$1.300,$7.80,,,
Decimator Web,Mirrodin Besieged,8,Near Mint,Rare,$.050,$0.30,$.400,$2.40,,,
Declaration in Stone,Shadows over Innistrad,5,Near Mint,Rare,$2.750,$5.50,$13.750,$27.50,,,
Deep Spawn,Fallen Empires,8,Near Mint,Uncommon,$.003,$0.15,$.024,$1.20,,,
Deep Water,The Dark,6,Near Mint,Common,$.003,$0.10,$.018,$0.60,,,
Deepfathom Skulker,Oath of the Gatewatch,38,Near Mint,Rare,$.050,$0.30,$1.900,$11.40,,,
Deepwood Drummer,Mercadian Masques,3,Near Mint,Common,$.003,$0.10,$.009,$0.30,,,
Deepwood Elder,Mercadian Masques,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Deepwood Ghoul,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Deepwood Legate,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Deepwood Tantiv,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Deepwood Wolverine,Mercadian Masques,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Defender en-Vec,Nemesis,9,Near Mint,Common,$.003,$0.10,$.027,$0.90,,,
Defender of Chaos,Urza's Legacy,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Defender of Law,Urza's Legacy,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Defense of the Heart,Urza's Legacy,1,Near Mint,Rare,$5.250,$10.50,$5.250,$10.50,,,
Defensive Formation,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Defiant Bloodlord,Battle for Zendikar,46,Near Mint,Rare,$.050,$0.30,$2.300,$13.80,,,
Defiant Falcon,Nemesis,11,Near Mint,Common,$.003,$0.15,$.033,$1.65,,,
Defiant Vanguard,Nemesis,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Defiling Tears,Invasion,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Deflecting Palm,Khans of Tarkir,30,Near Mint,Rare,$.050,$0.65,$1.500,$19.50,,,
Dega Disciple,Apocalypse,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Dega Sanctuary,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Dehydration,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Deicide,Journey into Nyx,29,Near Mint,Rare,$.050,$0.30,$1.450,$8.70,,,
Delif's Cone,Fallen Empires,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Delif's Cube,Fallen Empires,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Delirium,Mirage,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Delraich,Mercadian Masques,1,Near Mint,Rare,$.050,$0.75,$.050,$0.75,,,
Demonic Attorney,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Demonic Hordes,Revised Edition,1,Near Mint,Rare,$.050,$0.90,$.050,$0.90,,,
Demonic Pact,Magic Origins,10,Near Mint,MythicRare,$2.250,$4.50,$22.500,$45.00,,,
Demonic Rising,Avacyn Restored,37,Near Mint,Rare,$.050,$0.30,$1.850,$11.10,,,
Demonic Tutor,Revised Edition,2,Near Mint,Uncommon,$8.250,$16.50,$16.500,$33.00,,,
Demonlord of Ashmouth,Avacyn Restored,43,Near Mint,Rare,$.050,$0.45,$2.150,$19.35,,,
Den Protector,Dragons of Tarkir,18,Near Mint,Rare,$.500,$2.25,$9.000,$40.50,,,
Deranged Hermit,Urza's Legacy,2,Near Mint,Rare,$4.500,$9.00,$9.000,$18.00,,,
Deranged Outcast,Dark Ascension,40,Near Mint,Rare,$.050,$0.30,$2.000,$12.00,,,
Derelor,Fallen Empires,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Descend upon the Sinful,Shadows over Innistrad,3,Near Mint,MythicRare,$.250,$1.50,$.750,$4.50,,,
Descendants' Path,Avacyn Restored,3,Near Mint,Rare,$.750,$3.25,$2.250,$9.75,,,
Descent into Madness,Avacyn Restored,28,Near Mint,MythicRare,$.250,$0.99,$7.000,$27.72,,,
Descent of the Dragons,Dragons of Tarkir,6,Near Mint,MythicRare,$.500,$2.25,$3.000,$13.50,,,
Desecration Demon,Return to Ravnica,17,Near Mint,Rare,$.100,$1.50,$1.700,$25.50,,,
Desert,Arabian Nights,1,Played,Common,$.003,$0.65,$.003,$0.65,,,
Desert,Arabian Nights,6,Poor,Common,$.003,$0.85,$.018,$5.10,,,
Desert Twister,Revised Edition,1,Good (Lightly Played),Uncommon,$.003,$0.15,$.003,$0.15,,,
Desert Twister,Revised Edition,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Desert Twister,Mercadian Masques,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Desert Twister,Arabian Nights,1,Good (Lightly Played),Uncommon,$6.250,$12.72,$6.250,$12.72,,,
Desertion,Visions,2,Near Mint,Rare,$2.750,$5.50,$5.500,$11.00,,,
Desolate Lighthouse,Avacyn Restored,31,Near Mint,Rare,$.100,$1.25,$3.100,$38.75,,,
Desolation Twin,Battle for Zendikar,35,Near Mint,Rare,$.050,$0.45,$1.750,$15.75,,,
Despoil,Prophecy,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Despoiler of Souls,Magic Origins,24,Near Mint,Rare,$.050,$0.45,$1.200,$10.80,,,
Despondency,Urza's Saga,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Detention Sphere,Return to Ravnica,24,Near Mint,Rare,$.100,$1.50,$2.400,$36.00,,,
Devastate,Prophecy,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Devastation,Portal,1,Good (Lightly Played),Rare,$7.500,$14.80,$7.500,$14.80,,,
Devastation Tide,Avacyn Restored,21,Near Mint,Rare,$.050,$0.55,$1.050,$11.55,,,
Devil's Play,Innistrad,26,Near Mint,Rare,$.050,$0.30,$1.300,$7.80,,,
Devils' Playground,Shadows over Innistrad,12,Near Mint,Rare,$.050,$0.30,$.600,$3.60,,,
Devouring Deep,Legends,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Devouring Strossus,Invasion,1,Near Mint,Rare,$.050,$0.45,$.050,$0.45,,,
Devout Harpist,Urza's Legacy,3,Near Mint,Common,$.003,$0.10,$.009,$0.30,,,
Devout Invocation,Magic 2014 Core Set,10,Near Mint,MythicRare,$.250,$1.50,$2.500,$15.00,,,
Devout Witness,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Diabolic Intent,Planeshift,1,Near Mint,Rare,$8.250,$16.25,$8.250,$16.25,,,
Diabolic Machine,The Dark,4,Near Mint,Uncommon,$.003,$0.15,$.012,$0.60,,,
Diabolic Revelation,Magic 2013,3,Near Mint,Rare,$.100,$1.25,$.300,$3.75,,,
Diabolic Servitude,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Diabolic Vision,Ice Age,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Dictate of Erebos,Journey into Nyx,3,Near Mint,Rare,$.750,$3.00,$2.250,$9.00,,,
Dictate of Heliod,Journey into Nyx,13,Near Mint,Rare,$.050,$0.30,$.650,$3.90,,,
Dictate of Karametra,Journey into Nyx,7,Near Mint,Rare,$.050,$0.30,$.350,$2.10,,,
Dictate of Kruphix,Journey into Nyx,10,Near Mint,Rare,$.100,$1.00,$1.000,$10.00,,,
Dictate of the Twin Gods,Journey into Nyx,12,Near Mint,Rare,$.050,$0.30,$.600,$3.60,,,
Didgeridoo,Homelands,1,Near Mint,Rare,$.100,$1.75,$.100,$1.75,,,
Dig Through Time,Khans of Tarkir,35,Near Mint,Rare,$.100,$1.25,$3.500,$43.75,,,
Diluvian Primordial,Gatecrash,58,Near Mint,Rare,$.050,$0.30,$2.900,$17.40,,,
Dimensional Infiltrator,Oath of the Gatewatch,46,Near Mint,Rare,$.050,$0.45,$2.300,$20.70,,,
Dingus Egg,Revised Edition,1,Good (Lightly Played),Rare,$.050,$0.30,$.050,$0.30,,,
Dingus Egg,Revised Edition,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Diplomatic Escort,Mercadian Masques,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Diplomatic Immunity,Mercadian Masques,3,Near Mint,Common,$.003,$0.25,$.009,$0.75,,,
Diregraf Colossus,Shadows over Innistrad,7,Near Mint,Rare,$.500,$2.25,$3.500,$15.75,,,
Dirtcowl Wurm,Tempest,4,Near Mint,Rare,$.050,$0.75,$.200,$3.00,,,
Disciple of Bolas,Magic 2013,26,Near Mint,Rare,$.050,$0.55,$1.300,$14.30,,,
Disciple of Kangee,Planeshift,6,Near Mint,Common,$.003,$0.10,$.018,$0.60,,,
Disciple of Law,Urza's Saga,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Disciple of the Ring,Magic Origins,23,Near Mint,MythicRare,$.250,$0.75,$5.750,$17.25,,,
Disempower,Mirage,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Disenchant,Fourth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Disenchant,Mirage,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Disenchant,Tempest,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Disenchant,Urza's Saga,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Disenchant,Ice Age,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Disenchant,Mercadian Masques,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Disenchant,Revised Edition,15,Near Mint,Common,$.003,$0.15,$.045,$2.25,,,
Disintegrate,Revised Edition,3,Good (Lightly Played),Common,$.003,$0.15,$.009,$0.45,,,
Disintegrate,Revised Edition,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Dismantling Blow,Invasion,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Dismiss into Dream,Magic 2014 Core Set,25,Near Mint,Rare,$.050,$0.30,$1.250,$7.50,,,
Displacement Wave,Magic Origins,16,Near Mint,Rare,$.050,$0.30,$.800,$4.80,,,
Disrupt,Weatherlight,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Disrupt,Invasion,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Disrupting Scepter,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Disrupting Scepter,Fourth Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Disruptive Student,Urza's Saga,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Distant Memories,Mirrodin Besieged,11,Near Mint,Rare,$.050,$0.30,$.550,$3.30,,,
Diversionary Tactics,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Divine Deflection,Avacyn Restored,31,Near Mint,Rare,$.050,$0.30,$1.550,$9.30,,,
Divine Light,Apocalypse,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Divine Offering,Mirage,1,Good (Lightly Played),Common,$.003,$0.15,$.003,$0.15,,,
Divine Offering,Legends,1,Played,Common,$.003,$0.25,$.003,$0.25,,,
Divine Offering,Legends,3,Near Mint,Common,$.003,$0.25,$.009,$0.75,,,
Divine Reckoning,Innistrad,36,Near Mint,Rare,$.050,$0.30,$1.800,$10.80,,,
Diving Griffin,Prophecy,7,Near Mint,Common,$.003,$0.10,$.021,$0.70,,,
Divining Witch,Nemesis,1,Near Mint,Rare,$.050,$0.55,$.050,$0.55,,,
Dizzying Gaze,Exodus,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Djinn of Wishes,Magic 2012,9,Near Mint,Rare,$.050,$0.30,$.450,$2.70,,,
Do or Die,Invasion,2,Near Mint,Rare,$.100,$1.75,$.200,$3.50,,,
Dodecapod,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Domestication,Magic 2014 Core Set,25,Near Mint,Rare,$.050,$0.30,$1.250,$7.50,,,
Dominaria's Judgment,Planeshift,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Dominate,Nemesis,7,Near Mint,Uncommon,$.003,$0.25,$.021,$1.75,,,
Donate,Urza's Destiny,1,Near Mint,Rare,$1.000,$3.75,$1.000,$3.75,,,
Doomwake Giant,Journey into Nyx,35,Near Mint,Rare,$.050,$0.30,$1.750,$10.50,,,
Door of Destinies,Magic 2014 Core Set,7,Near Mint,Rare,$1.250,$4.50,$8.750,$31.50,,,
Door to Nothingness,Magic 2013,6,Near Mint,Rare,$.100,$1.25,$.600,$7.50,,,
Downhill Charge,Nemesis,8,Near Mint,Common,$.003,$0.10,$.024,$0.80,,,
Draco,Planeshift,1,Near Mint,Rare,$.100,$1.75,$.100,$1.75,,,
Draconian Cylix,Fallen Empires,4,Near Mint,Rare,$.050,$0.30,$.200,$1.20,,,
Drafna's Restoration,Antiquities,1,Played,Common,$.003,$0.25,$.003,$0.25,,,
Dragon Arch,Apocalypse,7,Near Mint,Uncommon,$.250,$1.75,$1.750,$12.25,,,
Dragon Broodmother,Alara Reborn,1,Near Mint,MythicRare,$7.000,$14.00,$7.000,$14.00,,,
Dragon Engine,Revised Edition,2,Near Mint,Common,$.003,$0.30,$.006,$0.60,,,
Dragon Engine,Antiquities,3,Near Mint,Rare,$.050,$0.15,$.150,$0.45,,,
Dragon Tempest,Dragons of Tarkir,17,Near Mint,Rare,$.100,$1.00,$1.700,$17.00,,,
Dragon Throne of Tarkir,Khans of Tarkir,24,Near Mint,Rare,$.050,$0.30,$1.200,$7.20,,,
Dragon Whelp,Revised Edition,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Dragon Whelp,Revised Edition,5,Good (Lightly Played),Uncommon,$.003,$0.15,$.015,$0.75,,,
Dragon Whisperer,Dragons of Tarkir,17,Near Mint,MythicRare,$.250,$1.50,$4.250,$25.50,,,
Dragon-Style Twins,Khans of Tarkir,24,Near Mint,Rare,$.050,$0.30,$1.200,$7.20,,,
Dragonlord Atarka,Dragons of Tarkir,4,Near Mint,MythicRare,$4.250,$8.50,$17.000,$34.00,,,
