Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Rarity,Price
7,0,Dodecapod,Apocalypse,134,Near Mint,English,,,,,,,,,Uncommon,$0.18
25,8,Domestication,Magic 2014 Core Set,53,Near Mint,English,,,,,,,,25,Rare,$0.27
1,0,Dominaria's Judgment,Planeshift,4,Near Mint,English,,,,,,,,,Rare,$0.31
7,0,Dominate,Nemesis,31,Near Mint,English,,,,,,,,,Uncommon,$0.25
1,0,Donate,Urza's Destiny,31,Near Mint,English,,,,,,,,,Rare,$3.76
35,8,Doomwake Giant,Journey into Nyx,66,Near Mint,English,,,,,,,,25,Rare,$0.34
7,7,Door of Destinies,Magic 2014 Core Set,208,Near Mint,English,,,,,,,,450,Rare,$4.34
6,6,Door to Nothingness,Magic 2013,203,Near Mint,English,,,,,,,,125,Rare,$1.24
8,0,Downhill Charge,Nemesis,79,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Draco,Planeshift,131,Near Mint,English,,,,,,,,,Rare,$1.86
4,0,Draconian Cylix,Fallen Empires,171,Near Mint,English,,,,,,,,,Rare,$0.30
1,0,Drafna's Restoration,Antiquities,52,Played,English,,,,,,,,,Common,$0.30
7,0,Dragon Arch,Apocalypse,135,Near Mint,English,,,,,,,,,Uncommon,$1.88
1,1,Dragon Broodmother,Alara Reborn,53,Near Mint,English,,,,,,,,1425,MythicRare,$14.15
3,0,Dragon Engine,Antiquities,14,Near Mint,English,,,,,,,,,Common,$0.24
2,0,Dragon Engine,Revised Edition,246,Near Mint,English,,,,,,,,,Rare,$0.32
17,8,Dragon Tempest,Dragons of Tarkir,136,Near Mint,English,,,,,,,,100,Rare,$1.12
24,8,Dragon Throne of Tarkir,Khans of Tarkir,219,Near Mint,English,,,,,,,,25,Rare,$0.27
5,0,Dragon Whelp,Revised Edition,142,Near Mint,English,,,,,,,,,Uncommon,$0.20
2,0,Dragon Whelp,Revised Edition,142,Good (Lightly Played),English,,,,,,,,,Uncommon,$0.20
17,8,Dragon Whisperer,Dragons of Tarkir,137,Near Mint,English,,,,,,,,150,MythicRare,$1.51
24,8,Dragon-Style Twins,Khans of Tarkir,108,Near Mint,English,,,,,,,,25,Rare,$0.25
4,4,Dragonlord Atarka,Dragons of Tarkir,216,Near Mint,English,,,,,,,,900,MythicRare,$9.68
3,3,Dragonlord Dromoka,Dragons of Tarkir,217,Near Mint,English,,,,,,,,550,MythicRare,$5.87
7,7,Dragonlord Kolaghan,Dragons of Tarkir,218,Near Mint,English,,,,,,,,375,MythicRare,$4.08
7,7,Dragonlord Ojutai,Dragons of Tarkir,219,Near Mint,English,,,,,,,,775,MythicRare,$8.53
1,1,Dragonlord Silumgar,Dragons of Tarkir,220,Near Mint,English,,,,,,,,625,MythicRare,$6.62
22,8,Dragonlord's Prerogative,Dragons of Tarkir,52,Near Mint,English,,,,,,,,50,Rare,$0.41
23,8,Dragonmaster Outcast,Battle for Zendikar,144,Near Mint,English,,,,,,,,250,MythicRare,$2.39
13,8,Dragonscale General,Fate Reforged,11,Near Mint,English,,,,,,,,25,Rare,$0.33
39,8,Dragonshift,Dragon's Maze,66,Near Mint,English,,,,,,,,25,Rare,$0.27
1,1,Dragonskull Summit,Magic 2012,225,Near Mint,English,,,,,,,,250,Rare,$2.57
6,6,Dragonskull Summit,Magic 2013,222,Near Mint,English,,,,,,,,250,Rare,$2.57
4,0,Drain Life,Revised Edition,14,Good (Lightly Played),English,,,,,,,,,Common,$0.16
1,0,Drain Life,Mirage,16,Near Mint,English,,,,,,,,,Common,$0.16
3,0,Drain Power,Revised Edition,56,Good (Lightly Played),English,,,,,,,,,Rare,$0.69
3,0,Drake Hatchling,Mercadian Masques,76,Near Mint,English,,,,,,,,,Common,$0.14
2,0,Drake-Skull Cameo,Invasion,302,Near Mint,English,,,,,,,,,Uncommon,$0.17
29,8,Drana's Chosen,Oath of the Gatewatch,84,Near Mint,English,,,,,,,,25,Rare,$0.29
19,8,"Drana, Liberator of Malakir",Battle for Zendikar,109,Near Mint,English,,,,,,,,600,MythicRare,$5.92
32,8,Dread Defiler,Oath of the Gatewatch,68,Near Mint,English,,,,,,,,25,Rare,$0.29
1,0,Dread of Night,Classic Sixth Edition,122,Near Mint,English,,,,,,,,,Uncommon,$0.48
27,8,Dread Slaver,Avacyn Restored,98,Near Mint,English,,,,,,,,25,Rare,$0.28
40,8,Dreadbore,Return to Ravnica,157,Near Mint,English,,,,,,,,325,Rare,$3.39
1,0,Dream Cache,Classic Sixth Edition,66,Near Mint,English,,,,,,,,,Common,$0.18
2,0,Dream Coat,Legends,51,Near Mint,English,,,,,,,,,Uncommon,$0.39
1,0,Dream Fighter,Mirage,63,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Dream Prowler,Stronghold,29,Near Mint,English,,,,,,,,,Common,$0.15
4,0,Dream Thrush,Invasion,53,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Dreams of the Dead,Ice Age,66,Near Mint,English,,,,,,,,,Uncommon,$0.18
2,0,Dredge,Invasion,103,Near Mint,English,,,,,,,,,Uncommon,$0.22
4,0,Drifting Meadow,Urza's Saga,320,Near Mint,English,,,,,,,,,Common,$0.17
19,8,Drogskol Cavalry,Shadows over Innistrad,15,Near Mint,English,,,,,,,,25,Rare,$0.27
2,2,Drogskol Reaver,Dark Ascension,137,Near Mint,English,,,,,,,,200,MythicRare,$2.04
3,0,Dromar's Cavern,Planeshift,138,Near Mint,English,,,,,,,,,Uncommon,$0.48
4,0,Dromar's Charm,Planeshift,105,Near Mint,English,,,,,,,,,Uncommon,$0.26
1,0,"Dromar, the Banisher",Invasion,244,Near Mint,English,,,,,,,,,Rare,$3.62
18,8,Dromoka's Command,Dragons of Tarkir,221,Near Mint,English,,,,,,,,375,Rare,$4.17
32,8,"Dromoka, the Eternal",Fate Reforged,151,Near Mint,English,,,,,,,,25,Rare,$0.38
2,0,Dromosaur,Urza's Saga,182,Near Mint,English,,,,,,,,,Common,$0.14
5,0,Drowned,The Dark,23,Near Mint,English,,,,,,,,,Common,$0.14
7,7,Drowned Catacomb,Magic 2012,226,Near Mint,English,,,,,,,,300,Rare,$3.10
1,1,Drowned Catacomb,Magic 2013,223,Near Mint,English,,,,,,,,300,Rare,$3.11
42,8,Drowner of Hope,Battle for Zendikar,57,Near Mint,English,,,,,,,,50,Rare,$0.43
22,8,Drownyard Temple,Shadows over Innistrad,271,Near Mint,English,,,,,,,,100,Rare,$0.96
2,0,Drudge Skeletons,Revised Edition,15,Good (Lightly Played),English,,,,,,,,,Common,$0.14
3,0,Drudge Skeletons,Revised Edition,15,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Drudge Skeletons,Classic Sixth Edition,123,Near Mint,English,,,,,,,,,Common,$0.14
9,8,Druidic Satchel,Magic 2012,207,Near Mint,English,,,,,,,,25,Rare,$0.27
33,8,Druids' Repository,Avacyn Restored,176,Near Mint,English,,,,,,,,25,Rare,$0.29
43,8,Dual Casting,Avacyn Restored,133,Near Mint,English,,,,,,,,50,Rare,$0.48
3,0,Dual Nature,Prophecy,112,Near Mint,English,,,,,,,,,Rare,$0.54
1,0,Duct Crawler,Stronghold,79,Near Mint,English,,,,,,,,,Common,$0.15
54,8,Duneblast,Khans of Tarkir,174,Near Mint,English,,,,,,,,25,Rare,$0.30
30,8,Dungeon Geists,Dark Ascension,36,Near Mint,English,,,,,,,,25,Rare,$0.28
3,0,Dungeon Shade,Stronghold,8,Near Mint,English,,,,,,,,,Common,$0.15
2,2,Dungrove Elder,Magic 2012,171,Near Mint,English,,,,,,,,525,Rare,$5.08
1,0,Duress,Urza's Saga,132,Near Mint,English,,,,,,,,,Common,$0.52
27,8,Duskmantle Seer,Gatecrash,159,Near Mint,English,,,,,,,,75,MythicRare,$0.70
2,0,Duskrider Falcon,Weatherlight,128,Near Mint,English,,,,,,,,,Common,$0.15
4,0,Duskwalker,Invasion,104,Near Mint,English,,,,,,,,,Common,$0.14
66,8,Dust Stalker,Battle for Zendikar,202,Near Mint,English,,,,,,,,25,Rare,$0.34
6,0,Dust to Dust,The Dark,78,Near Mint,English,,,,,,,,,Common,$0.23
1,0,Dust to Dust,The Dark,78,Good (Lightly Played),English,,,,,,,,,Common,$0.23
2,0,Dwarven Armorer,Fallen Empires,104,Near Mint,English,,,,,,,,,Rare,$0.31
1,0,Dwarven Berserker,Weatherlight,97,Near Mint,English,,,,,,,,,Common,$0.14
3,0,Dwarven Catapult,Fallen Empires,105,Near Mint,English,,,,,,,,,Uncommon,$0.18
1,0,Dwarven Demolition Team,Unlimited Edition,143,Near Mint,English,,,,,,,,,Uncommon,$0.91
2,0,Dwarven Hold,Fallen Empires,178,Near Mint,English,,,,,,,,,Rare,$0.73
5,0,Dwarven Landslide,Apocalypse,60,Near Mint,English,,,,,,,,,Common,$0.14
4,0,Dwarven Lieutenant,Fallen Empires,106,Near Mint,English,,,,,,,,,Uncommon,$0.18
8,0,Dwarven Patrol,Apocalypse,61,Near Mint,English,,,,,,,,,Uncommon,$0.17
4,0,Dwarven Ruins,Fallen Empires,179,Near Mint,English,,,,,,,,,Uncommon,$0.26
9,0,Dwarven Soldier,Fallen Empires,107,Near Mint,English,,,,,,,,,Common,$0.16
5,0,Dwarven Soldier,Fallen Empires,108,Near Mint,English,,,,,,,,,Common,$0.16
5,0,Dwarven Soldier,Fallen Empires,109,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Dwarven Song,Legends,141,Good (Lightly Played),English,,,,,,,,,Uncommon,$0.42
2,0,Dwarven Vigilantes,Visions,77,Near Mint,English,,,,,,,,,Common,$0.15
4,0,Dwarven Warriors,Revised Edition,143,Near Mint,English,,,,,,,,,Common,$0.14
21,8,"Dwynen, Gilt-Leaf Daen",Magic Origins,172,Near Mint,English,,,,,,,,75,Rare,$0.96
4,0,Earth Elemental,Revised Edition,145,Near Mint,English,,,,,,,,,Uncommon,$0.15
5,0,Earthbind,Revised Edition,146,Near Mint,English,,,,,,,,,Common,$0.14
12,8,Eater of Hope,Born of the Gods,66,Near Mint,English,,,,,,,,25,Rare,$0.28
1,0,Eater of the Dead,The Dark,6,Near Mint,English,,,,,,,,,Uncommon,$5.00
1,0,Eater of the Dead,The Dark,6,Near Mint,English,,,,,,,,,Uncommon,$5.00
2,0,Ebon Praetor,Fallen Empires,11,Near Mint,English,,,,,,,,,Rare,$0.31
1,0,Ebon Praetor,Fallen Empires,11,Played,English,,,,,,,,,Rare,$0.31
3,0,Ebon Stronghold,Fallen Empires,180,Near Mint,English,,,,,,,,,Uncommon,$0.26
1,0,Ebony Charm,Mirage,18,Near Mint,English,,,,,,,,,Common,$0.15
3,0,Ebony Horse,Revised Edition,247,Good (Lightly Played),English,,,,,,,,,Rare,$0.30
7,0,Ebony Treefolk,Apocalypse,97,Near Mint,English,,,,,,,,,Uncommon,$0.21
11,8,Eerie Interlude,Shadows over Innistrad,16,Near Mint,English,,,,,,,,75,Rare,$0.74
11,8,Eidolon of Blossoms,Journey into Nyx,122,Near Mint,English,,,,,,,,50,Rare,$0.49
19,8,Eidolon of Countless Battles,Born of the Gods,7,Near Mint,English,,,,,,,,75,Rare,$0.65
7,7,Eidolon of the Great Revel,Journey into Nyx,94,Near Mint,English,,,,,,,,900,Rare,$9.03
2,0,Ekundu Griffin,Mirage,217,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Ekundu Griffin,Classic Sixth Edition,18,Near Mint,English,,,,,,,,,Common,$0.14
1,0,El-Hajjâj,Revised Edition,16,Near Mint,English,,,,,,,,,Rare,$0.25
1,0,Eladamri's Call,Planeshift,106,Near Mint,English,,,,,,,,,Rare,$8.10
1,1,"Eladamri, Lord of Leaves",Tempest,117,Near Mint,English,,,,,,,,1100,Rare,$11.36
43,8,Elder of Laurels,Innistrad,177,Near Mint,English,,,,,,,,25,Rare,$0.27
1,0,Elder Spawn,Legends,52,Good (Lightly Played),English,,,,,,,,,Rare,$2.16
8,8,Elderscale Wurm,Magic 2013,167,Near Mint,English,,,,,,,,225,MythicRare,$2.34
3,3,Eldrazi Displacer,Oath of the Gatewatch,13,Near Mint,English,,,,,,,,450,Rare,$4.84
25,8,Eldrazi Mimic,Oath of the Gatewatch,2,Near Mint,English,,,,,,,,100,Rare,$1.14
35,8,Eldrazi Obligator,Oath of the Gatewatch,96,Near Mint,English,,,,,,,,50,Rare,$0.54
2,0,Electric Eel,The Dark,24,Near Mint,English,,,,,,,,,Uncommon,$0.18
1,0,Elemental Augury,Ice Age,364,Near Mint,English,,,,,,,,,Rare,$0.33
1,1,"Elesh Norn, Grand Cenobite",Modern Masters 2015 Edition,16,Near Mint,English,,,,,,,,1750,MythicRare,$18.26
2,2,"Elesh Norn, Grand Cenobite",New Phyrexia,9,Near Mint,English,,,,,,,,1800,MythicRare,$17.69
3,0,Elfhame Palace,Invasion,322,Near Mint,English,,,,,,,,,Uncommon,$0.25
1,0,Elfhame Sanctuary,Invasion,185,Near Mint,English,,,,,,,,,Uncommon,$0.32
19,8,Elite Arcanist,Magic 2014 Core Set,54,Near Mint,English,,,,,,,,50,Rare,$0.42
34,8,Elite Inquisitor,Innistrad,13,Near Mint,English,,,,,,,,50,Rare,$0.39
1,0,Elite Javelineer,Tempest,229,Near Mint,English,,,,,,,,,Common,$0.14
3,3,Elspeth Tirel,Scars of Mirrodin,6,Near Mint,English,,,,,,,,1050,MythicRare,$10.62
2,2,"Elspeth, Knight-Errant",Modern Event Deck 2014,13,Near Mint,English,,,,,,,,0,MythicRare,$12.71
1,1,"Elspeth, Knight-Errant",Shards of Alara,9,Near Mint,English,,,,,,,,1425,MythicRare,$14.63
12,8,Elusive Tormentor,Shadows over Innistrad,108,Near Mint,English,,,,,,,,50,Rare,$0.35
4,0,Elven Fortress,Fallen Empires,67,Near Mint,English,,,,,,,,,Common,$0.14
6,0,Elven Fortress,Fallen Empires,68,Near Mint,English,,,,,,,,,Common,$0.17
8,0,Elven Fortress,Fallen Empires,69,Near Mint,English,,,,,,,,,Common,$0.17
4,0,Elven Fortress,Fallen Empires,70,Near Mint,English,,,,,,,,,Common,$0.17
4,0,Elven Lyre,Fallen Empires,172,Near Mint,English,,,,,,,,,Rare,$0.31
1,0,Elven Palisade,Exodus,109,Near Mint,English,,,,,,,,,Uncommon,$0.17
1,0,Elves of Deep Shadow,The Dark,39,Good (Lightly Played),English,,,,,,,,,Uncommon,$1.32
1,1,Elvish Archdruid,Magic 2012,172,Near Mint,English,,,,,,,,250,Rare,$2.37
7,7,Elvish Archdruid,Magic 2013,168,Near Mint,English,,,,,,,,250,Rare,$2.43
2,0,Elvish Berserker,Exodus,110,Near Mint,English,,,,,,,,,Common,$0.15
1,0,Elvish Champion,Invasion,186,Near Mint,English,,,,,,,,,Rare,$4.41
4,0,Elvish Farmer,Fallen Empires,71,Near Mint,English,,,,,,,,,Rare,$0.90
2,0,Elvish Healer,Ice Age,246,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Elvish Herder,Urza's Saga,247,Near Mint,English,,,,,,,,,Common,$0.20
4,0,Elvish Hunter,Fallen Empires,72,Near Mint,English,,,,,,,,,Common,$0.18
4,0,Elvish Hunter,Fallen Empires,73,Near Mint,English,,,,,,,,,Common,$0.15
6,0,Elvish Hunter,Fallen Empires,74,Near Mint,English,,,,,,,,,Common,$0.18
1,0,Elvish Lyrist,Urza's Saga,248,Near Mint,English,,,,,,,,,Common,$0.16
4,0,Elvish Scout,Fallen Empires,75,Near Mint,English,,,,,,,,,Common,$0.18
6,0,Elvish Scout,Fallen Empires,76,Near Mint,English,,,,,,,,,Common,$0.19
3,0,Elvish Scout,Fallen Empires,77,Near Mint,English,,,,,,,,,Common,$0.18
1,0,Embargo,Mercadian Masques,77,Near Mint,English,,,,,,,,,Rare,$0.37
43,8,Ember Swallower,Theros,120,Near Mint,English,,,,,,,,25,Rare,$0.23
34,8,Embermaw Hellion,Magic Origins,141,Near Mint,English,,,,,,,,25,Rare,$0.34
7,0,Emblazoned Golem,Apocalypse,136,Near Mint,English,,,,,,,,,Uncommon,$0.17
1,0,Emerald Charm,Visions,56,Near Mint,English,,,,,,,,,Common,$0.17
3,0,Emerald Dragonfly,Legends,98,Good (Lightly Played),English,,,,,,,,,Common,$0.18
1,0,Emerald Dragonfly,Legends,98,Played,English,,,,,,,,,Common,$0.18
31,8,Emeria Shepherd,Battle for Zendikar,22,Near Mint,English,,,,,,,,25,Rare,$0.31
45,8,Emmara Tandris,Dragon's Maze,68,Near Mint,English,,,,,,,,50,Rare,$0.41
2,0,Empress Galina,Invasion,54,Near Mint,English,,,,,,,,,Rare,$3.66
27,8,Empty the Pits,Khans of Tarkir,72,Near Mint,English,,,,,,,,75,MythicRare,$0.73
2,2,"Emrakul, the Aeons Torn",Modern Masters 2015 Edition,3,Near Mint,English,,,,,,,,3275,MythicRare,$34.68
72,8,End Hostilities,Khans of Tarkir,8,Near Mint,English,,,,,,,,50,Rare,$0.42
1,0,Endangered Armodon,Stronghold,57,Near Mint,English,,,,,,,,,Common,$0.14
32,8,Endbringer,Oath of the Gatewatch,3,Near Mint,English,,,,,,,,50,Rare,$0.47
43,8,Endless One,Battle for Zendikar,8,Near Mint,English,,,,,,,,100,Rare,$1.12
1,1,Endless Ranks of the Dead,Innistrad,99,Near Mint,English,,,,,,,,475,Rare,$4.64
2,0,Endoskeleton,Urza's Saga,294,Near Mint,English,,,,,,,,,Uncommon,$0.18
2,0,Energy Flux,Revised Edition,57,Near Mint,English,,,,,,,,,Uncommon,$0.21
1,0,Energy Flux,Mercadian Masques,78,Near Mint,English,,,,,,,,,Uncommon,$0.24
2,0,Energy Tap,Legends,54,Good (Lightly Played),English,,,,,,,,,Common,$0.21
6,0,Enervate,Ice Age,67,Near Mint,English,,,,,,,,,Common,$0.14
2,0,Enfeeblement,Mirage,19,Near Mint,English,,,,,,,,,Common,$0.14
2,0,Engineered Plague,Urza's Legacy,51,Near Mint,English,,,,,,,,,Uncommon,$0.46
10,8,Engulf the Shore,Shadows over Innistrad,58,Near Mint,English,,,,,,,,125,Rare,$1.29
4,4,Enlightened Tutor,Mirage,218,Near Mint,English,,,,,,,,1250,Uncommon,$12.52
1,0,Enlightened Tutor,Classic Sixth Edition,19,Near Mint,English,,,,,,,,,Uncommon,$13.55
7,0,Enlistment Officer,Apocalypse,9,Near Mint,English,,,,,,,,,Uncommon,$0.20
1,0,Enslaved Horror,Mercadian Masques,134,Near Mint,English,,,,,,,,,Uncommon,$0.18
4,0,Ensnare,Nemesis,32,Near Mint,English,,,,,,,,,Uncommon,$0.22
1,0,Ensnaring Bridge,Stronghold,127,Near Mint,English,,,,,,,,,Rare,$42.80
2,0,Entangler,Prophecy,7,Near Mint,English,,,,,,,,,Uncommon,$0.52
26,8,Enter the Infinite,Gatecrash,34,Near Mint,English,,,,,,,,150,MythicRare,$1.40
1,1,Entomb,Eternal Masters,87,Near Mint,English,,,,,,,,1550,Rare,$15.87
1,0,Entropic Specter,Exodus,61,Near Mint,English,,,,,,,,,Rare,$0.31
26,8,"Ephara, God of the Polis",Born of the Gods,145,Near Mint,English,,,,,,,,175,MythicRare,$1.94
16,8,Epic Experiment,Return to Ravnica,159,Near Mint,English,,,,,,,,75,MythicRare,$0.84
27,8,Epiphany at the Drownyard,Shadows over Innistrad,59,Near Mint,English,,,,,,,,50,Rare,$0.48
1,0,Equinox,Legends,182,Good (Lightly Played),English,,,,,,,,,Common,$0.31
1,0,Equipoise,Visions,103,Near Mint,English,,,,,,,,,Rare,$0.60
1,0,Erase,Urza's Legacy,7,Near Mint,English,,,,,,,,,Common,$0.16
16,8,Erebos's Titan,Magic Origins,94,Near Mint,English,,,,,,,,100,MythicRare,$1.19
20,8,"Erebos, God of the Dead",Theros,85,Near Mint,English,,,,,,,,725,MythicRare,$7.37
4,0,Erg Raiders,Revised Edition,17,Near Mint,English,,,,,,,,,Common,$0.14
5,0,Erosion,The Dark,25,Near Mint,English,,,,,,,,,Common,$0.14
2,0,Errant Minion,Ice Age,68,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Errantry,Ice Age,183,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Erratic Portal,Exodus,132,Near Mint,English,,,,,,,,,Rare,$1.44
3,0,Ertai's Trickery,Planeshift,24,Near Mint,English,,,,,,,,,Uncommon,$0.18
6,0,Escape Routes,Planeshift,25,Near Mint,English,,,,,,,,,Common,$0.15
1,0,Essence Filter,Ice Age,121,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Essence Flare,Ice Age,69,Near Mint,English,,,,,,,,,Common,$0.13
1,0,Essence Leak,Invasion,55,Near Mint,English,,,,,,,,,Uncommon,$0.18
33,8,Essence of the Wild,Innistrad,178,Near Mint,English,,,,,,,,75,MythicRare,$0.74
3,3,Etched Champion,Scars of Mirrodin,154,Near Mint,English,,,,,,,,350,Rare,$3.35
1,1,Etched Monstrosity,New Phyrexia,135,Near Mint,English,,,,,,,,75,MythicRare,$0.79
4,0,Eternal Flame,The Dark,60,Good (Lightly Played),English,,,,,,,,,Rare,$0.42
2,0,Eternal Warrior,Legends,142,Good (Lightly Played),English,,,,,,,,,Uncommon,$0.39
7,0,Evasive Action,Apocalypse,23,Near Mint,English,,,,,,,,,Uncommon,$0.18
12,8,Ever After,Shadows over Innistrad,109,Near Mint,English,,,,,,,,75,Rare,$0.76
1,0,Everglades,Visions,162,Near Mint,English,,,,,,,,,Uncommon,$0.28
1,0,Evil Presence,Revised Edition,18,Good (Lightly Played),English,,,,,,,,,Uncommon,$0.19
1,0,Evil Presence,Revised Edition,18,Near Mint,English,,,,,,,,,Uncommon,$0.19
31,8,Evil Twin,Innistrad,212,Near Mint,English,,,,,,,,50,Rare,$0.55
1,0,Evincar's Justice,Tempest,28,Near Mint,English,,,,,,,,,Common,$0.22
46,8,Evolutionary Leap,Magic Origins,176,Near Mint,English,,,,,,,,100,Rare,$1.09
1,0,Exalted Dragon,Exodus,6,Near Mint,English,,,,,,,,,Rare,$0.34
32,8,"Exava, Rakdos Blood Witch",Dragon's Maze,69,Near Mint,English,,,,,,,,50,Rare,$0.39
1,0,Excavation,Prophecy,33,Near Mint,English,,,,,,,,,Uncommon,$0.20
4,0,Excise,Prophecy,8,Near Mint,English,,,,,,,,,Common,$0.14
4,0,Exclude,Invasion,56,Near Mint,English,,,,,,,,,Common,$0.24
51,8,Exert Influence,Battle for Zendikar,77,Near Mint,English,,,,,,,,25,Rare,$0.28
2,0,Exhume,Urza's Saga,134,Near Mint,English,,,,,,,,,Common,$1.02
1,0,Exorcist,The Dark,79,Good (Lightly Played),English,,,,,,,,,Rare,$1.24
4,0,Exotic Curse,Invasion,105,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Exotic Disease,Planeshift,43,Near Mint,English,,,,,,,,,Uncommon,$0.18
3,0,Expendable Troops,Urza's Legacy,8,Near Mint,English,,,,,,,,,Common,$0.15
4,0,Explosive Growth,Invasion,187,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Expunge,Urza's Saga,135,Near Mint,English,,,,,,,,,Common,$0.14
1,1,Exquisite Blood,Avacyn Restored,102,Near Mint,English,,,,,,,,1075,Rare,$11.12
20,8,Exquisite Firecraft,Magic Origins,143,Near Mint,English,,,,,,,,200,Rare,$2.32
5,5,Extinguish All Hope,Journey into Nyx,68,Near Mint,English,,,,,,,,25,Rare,$0.25
2,0,Extortion,Mercadian Masques,135,Near Mint,English,,,,,,,,,Rare,$0.30
4,4,Extraplanar Lens,Mirrodin,169,Near Mint,English,,,,,,,,1350,Rare,$13.67
1,1,Extraplanar Lens,Mirrodin,169,Played,English,,,,,,,,1148,Rare,$13.67
6,6,Eye of Ugin,Modern Masters 2015 Edition,242,Near Mint,English,,,,,,,,1050,Rare,$10.66
2,2,Eye of Ugin,Worldwake,136,Near Mint,English,,,,,,,,1150,MythicRare,$12.31
5,5,Ezuri's Brigade,Scars of Mirrodin,121,Near Mint,English,,,,,,,,25,Rare,$0.26
30,8,Fabled Hero,Theros,12,Near Mint,English,,,,,,,,50,Rare,$0.48
1,0,Fact or Fiction,Invasion,57,Near Mint,English,,,,,,,,,Uncommon,$1.06
4,0,Fade Away,Exodus,34,Near Mint,English,,,,,,,,,Common,$0.21
2,0,Faerie Conclave,Urza's Legacy,139,Near Mint,English,,,,,,,,,Uncommon,$1.39
4,0,Faerie Squadron,Invasion,58,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Faith Healer,Urza's Saga,14,Near Mint,English,,,,,,,,,Rare,$0.41
20,8,Faith's Reward,Magic 2013,14,Near Mint,English,,,,,,,,100,Rare,$0.95
13,8,Falkenrath Aristocrat,Dark Ascension,138,Near Mint,English,,,,,,,,300,MythicRare,$3.11
9,8,Falkenrath Gorger,Shadows over Innistrad,155,Near Mint,English,,,,,,,,100,Rare,$1.25
42,8,Falkenrath Marauders,Innistrad,141,Near Mint,English,,,,,,,,25,Rare,$0.34
18,8,Fall of the Titans,Oath of the Gatewatch,109,Near Mint,English,,,,,,,,75,Rare,$0.66
1,0,Fallen Angel,Classic Sixth Edition,127,Near Mint,English,,,,,,,,,Rare,$0.44
3,0,Fallen Askari,Visions,9,Near Mint,English,,,,,,,,,Common,$0.15
7,0,Falling Timber,Planeshift,79,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Fallow Earth,Mirage,112,Near Mint,English,,,,,,,,,Uncommon,$0.18
2,0,False Demise,Mercadian Masques,80,Near Mint,English,,,,,,,,,Uncommon,$0.22
1,0,False Orders,Unlimited Edition,148,Good (Lightly Played),English,,,,,,,,,Common,$0.33
1,0,False Orders,Unlimited Edition,148,Played,English,,,,,,,,,Common,$0.33
3,0,False Orders,Unlimited Edition,148,Near Mint,English,,,,,,,,,Common,$0.33
2,0,Falter,Urza's Saga,184,Near Mint,English,,,,,,,,,Common,$0.15
4,0,Fanatical Devotion,Nemesis,8,Near Mint,English,,,,,,,,,Common,$0.15
2,0,Farrel's Mantle,Fallen Empires,138,Near Mint,English,,,,,,,,,Uncommon,$0.18
5,0,Farrel's Zealot,Fallen Empires,139,Near Mint,English,,,,,,,,,Common,$0.17
5,0,Farrel's Zealot,Fallen Empires,140,Near Mint,English,,,,,,,,,Common,$0.14
5,0,Farrel's Zealot,Fallen Empires,141,Near Mint,English,,,,,,,,,Common,$0.17
6,0,Farrelite Priest,Fallen Empires,137,Near Mint,English,,,,,,,,,Uncommon,$0.18
1,0,Fastbond,Unlimited Edition,101,Near Mint,English,,,,,,,,,Rare,$21.30
2,0,Fastbond,Revised Edition,101,Near Mint,English,,,,,,,,,Rare,$4.26
3,0,Fasting,The Dark,80,Near Mint,English,,,,,,,,,Uncommon,$0.21
1,0,Fatal Blow,Weatherlight,9,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Fatal Blow,Classic Sixth Edition,128,Near Mint,English,,,,,,,,,Common,$0.16
18,8,Fate Unraveler,Born of the Gods,68,Near Mint,English,,,,,,,,25,Rare,$0.30
15,8,Fated Conflagration,Born of the Gods,94,Near Mint,English,,,,,,,,25,Rare,$0.23
17,8,Fated Infatuation,Born of the Gods,39,Near Mint,English,,,,,,,,25,Rare,$0.33
22,8,Fated Intervention,Born of the Gods,121,Near Mint,English,,,,,,,,25,Rare,$0.24
34,8,Fated Retribution,Born of the Gods,11,Near Mint,English,,,,,,,,25,Rare,$0.26
17,8,Fated Return,Born of the Gods,69,Near Mint,English,,,,,,,,25,Rare,$0.27
57,8,Fathom Feeder,Battle for Zendikar,203,Near Mint,English,,,,,,,,50,Rare,$0.49
44,8,Fathom Mage,Gatecrash,162,Near Mint,English,,,,,,,,50,Rare,$0.44
1,0,Fault Line,Urza's Saga,185,Near Mint,English,,,,,,,,,Rare,$0.85
